2025-05-01T11:59:42.173Z,3my33XXLpYUzVEeLOyftV2,Frisky,Dominic Fike,115618
2025-05-01T12:01:08.003Z,3my33XXLpYUzVEeLOyftV2,Frisky,Dominic Fike,115618
2025-05-01T12:04:36.844Z,10YGSqXSKL5g6VmXiuSdd2,I Turn My Camera On,Spoon,212106
2025-05-01T12:06:55.303Z,60xaS8mYBKUW4VQQ666N0T,All Night (feat. Knox Fortune),Chance the Rapper,141542
2025-05-01T12:10:29.902Z,2jNyiavSywmA472t2m6ZBz,What Was That,Lorde,209286
2025-05-01T12:26:26.150Z,6xE6ZWzK1YDDSYzqOCoQlz,Last Train to London,Electric Light Orchestra,270066
2025-05-01T12:31:36.591Z,14QUJhbXCWO90NfZ0mXnGG,PINCH ME,young friend,179363
2025-05-01T12:34:33.092Z,4hk4plGoAmg3naYTq8EUul,fuck  i luv my friends,renforshort,163851
2025-05-01T12:36:49.968Z,4NexTaCZZ7Ehnf03A6SVjt,Dandelion,Galantis,140011
2025-05-01T16:52:04.889Z,3JsmrruMp8AWcbEZ4342JY,Sad Songs (feat. L Devine),Route 94,191612
2025-05-01T16:57:01.794Z,14BJVFg03Ep2iytTOSCEy1,Good 2 Yourself,LISP,230089
2025-05-01T17:03:43.317Z,4Dvkj6JhhA12EX05fT7y2e,As It Was,Harry Styles,167303
2025-05-01T17:06:49.193Z,4xmeLj3uVcoAwgDtwM4MbG,Heavy Metal Drummer,Wilco,188840
2025-05-01T17:09:38.587Z,5gF9zOYM9TmSzKHukbNjpB,Please Tell Rosie,Alle Farben,172640
2025-05-01T17:13:23.193Z,01XAVHIdfq8SNtZDplT0ZD,OnlyL,TSHA,227543
2025-05-01T17:22:55.801Z,1gihuPhrLraKYrJMAEONyc,Feel So Close - Radio Edit,Calvin Harris,206413
2025-05-01T17:26:21.983Z,2jNyiavSywmA472t2m6ZBz,What Was That,Lorde,209286
2025-05-01T17:53:47.154Z,4joZxzOYenOcfhCMLPxvLE,Fly,Djo,325020
2025-05-01T17:58:13.228Z,6cMMZ2pdP4PkYsVJqX2WUh,Kids,Current Joys,269142
2025-05-01T18:03:15.132Z,6Uwi2Qk3H7fM4b4W4ExrAp,Scott Street,Phoebe Bridgers,305000
2025-05-01T18:10:45.739Z,01K4zKU104LyJ8gMb7227B,Nothing New (feat. Phoebe Bridgers) (Taylor’s Version) (From The Vault),Taylor Swift,258812
2025-05-01T18:14:43.125Z,2Za1AlJNvksouPPWbXpR2X,Good Old Days (feat. Kesha),Macklemore,240506
2025-05-01T18:19:26.240Z,4nHJcUtNSUVjXRnjdP29Bk,You’re Gonna Go Far,Noah Kahan,286369
2025-05-01T18:22:55.240Z,1IF5UcqRO42D12vYwceOY6,From the Dining Table,Harry Styles,211960
2025-05-01T18:26:00.059Z,5TRZnGsX49uCZkXxIbD7Ru,Still Sane,Lorde,188133
2025-05-01T18:30:00.187Z,31nH2FO5og83YmI3K845Jn,Didn't Know What I Was In For,Better Oblivion Community Center,243226
